  id req                time  stage num
     375             6.96969    stage 2
     382              6.7615    stage 1
     376             6.55689    stage 2
     220             9.63446    stage 3
     383             5.34616    stage 1
     377             4.69996    stage 2
     221              8.0014    stage 3
     384             4.97992    stage 1
     378             4.29781    stage 2
     379             4.64023    stage 2
     385             5.52358    stage 1
     222             7.65196    stage 3
     386             3.87141    stage 1
     380             5.26333    stage 2
     387             4.23678    stage 1
     223             8.32671    stage 3
     381             4.31267    stage 2
     388             3.58851    stage 1
     382             3.05071    stage 2
     389              4.2318    stage 1
     224             8.71915    stage 3
     383               4.478    stage 2
     390             3.77176    stage 1
     384             4.31057    stage 2
     391             4.63527    stage 1
     225             7.52978    stage 3
     385             3.59694    stage 2
     392             3.18356    stage 1
     386             6.04976    stage 2
     226             7.57111    stage 3
     393             5.41845    stage 1
     394             3.37157    stage 1
     387             6.12637    stage 2
     395             5.40111    stage 1
     388             5.02199    stage 2
     227             9.90678    stage 3
     396             5.62472    stage 1
     389             6.16135    stage 2
     228             9.78096    stage 3
     397             4.94177    stage 1
     390             5.15071    stage 2
     398             5.17062    stage 1
     391              5.5273    stage 2
     229             8.98822    stage 3
     392             4.05885    stage 2
     399             5.71545    stage 1
     393             5.50649    stage 2
     400             4.87691    stage 1
     230             8.71383    stage 3
     394             4.87392    stage 2
     401             4.35996    stage 1
     231             8.10029    stage 3
     395              5.1368    stage 2
     402             4.90867    stage 1
     396             5.11161    stage 2
     403             5.15524    stage 1
     232             8.66611    stage 3
     397             4.95098    stage 2
     404             4.98405    stage 1
     398             4.73304    stage 2
     233             8.02092    stage 3
     405             4.48702    stage 1
     399             4.54215    stage 2
     406             6.19759    stage 1
     234             8.15367    stage 3
     400             4.39937    stage 2
     407              5.1486    stage 1
     401             5.65325    stage 2
     235             8.46026    stage 3
     408             4.20632    stage 1
     402             4.81054    stage 2
     409             5.09537    stage 1
     236              7.3141    stage 3
     403             6.08174    stage 2
     410             4.70964    stage 1
     404              3.5015    stage 2
     237              10.102    stage 3
     411             5.71922    stage 1
     405             5.32842    stage 2
     412             4.83565    stage 1
     406             4.09383    stage 2
     238             7.98843    stage 3
     413             4.53167    stage 1
     407             4.28642    stage 2
     414             5.68167    stage 1
     239             8.71257    stage 3
     408             4.90837    stage 2
     415             4.09224    stage 1
     409             5.60838    stage 2
     240             9.19432    stage 3
     416             5.55791    stage 1
     410             5.73363    stage 2
     417             5.43743    stage 1
     411             3.61755    stage 2
     241             9.39806    stage 3
     418             4.55503    stage 1
     412             5.45264    stage 2
     419             5.54911    stage 1
     413             6.24583    stage 2
     242             11.3896    stage 3
